test_number,time,frozen_counter,total_time
1,05/05/2021 00:51:44,154,207.19999999999322
2,05/05/2021 00:52:35,110,96.79999999999777
3,05/05/2021 00:53:27,247,202.59999999999334
4,05/05/2021 00:54:18,160,106.79999999999734
5,05/05/2021 00:55:09,125,140.59999999999616
6,05/05/2021 00:56:00,213,190.19999999999368
7,05/05/2021 00:56:51,130,113.39999999999729
8,05/05/2021 00:57:42,149,218.3999999999914
9,05/05/2021 00:58:33,132,150.5999999999961
10,05/05/2021 00:59:24,83,131.39999999999446
11,05/05/2021 01:00:15,140,138.99999999999696
12,05/05/2021 01:01:06,82,54.39999999999853
13,05/05/2021 01:01:57,122,162.5999999999952
14,05/05/2021 01:02:47,116,128.19999999999712
15,05/05/2021 01:03:38,193,165.5999999999953
16,05/05/2021 01:04:29,144,112.19999999999742
17,05/05/2021 01:05:20,154,180.19999999999578
18,05/05/2021 01:06:10,147,119.59999999999663
19,05/05/2021 01:07:01,162,193.79999999999336
20,05/05/2021 01:07:52,171,131.19999999999513
21,05/05/2021 01:08:43,118,63.999999999998096
22,05/05/2021 01:09:34,176,122.59999999999684
23,05/05/2021 01:10:24,141,105.5999999999986
24,05/05/2021 01:11:15,221,159.59999999999636
25,05/05/2021 01:12:06,178,176.39999999999665
26,05/05/2021 01:12:57,138,89.39999999999813
27,05/05/2021 01:13:48,151,147.59999999999533
28,05/05/2021 01:14:39,210,184.99999999999426
29,05/05/2021 01:15:30,188,154.99999999999693
30,05/05/2021 01:16:20,136,112.59999999999566
31,05/05/2021 01:17:11,247,256.3999999999939
32,05/05/2021 01:18:02,144,106.59999999999778
33,05/05/2021 01:18:53,129,129.39999999999574
34,05/05/2021 01:19:44,136,101.59999999999683
35,05/05/2021 01:20:35,182,183.7999999999937
36,05/05/2021 01:21:26,169,213.3999999999943
37,05/05/2021 01:22:16,203,283.9999999999921
38,05/05/2021 01:23:07,118,93.9999999999965
39,05/05/2021 01:23:58,123,96.79999999999731
40,05/05/2021 01:24:49,116,129.99999999999622
41,05/05/2021 01:25:39,154,225.79999999999353
42,05/05/2021 01:26:30,121,51.399999999999196
43,05/05/2021 01:27:21,133,79.99999999999729
44,05/05/2021 01:28:12,195,237.7999999999925
45,05/05/2021 01:29:03,176,57.19999999999898
46,05/05/2021 01:29:54,139,157.39999999999617
47,05/05/2021 01:30:45,178,137.59999999999522
48,05/05/2021 01:31:35,173,121.79999999999517
49,05/05/2021 01:32:26,145,69.99999999999824
50,05/05/2021 01:33:17,124,138.59999999999545
51,05/05/2021 01:34:08,132,99.79999999999643
52,05/05/2021 01:34:59,158,100.99999999999702
53,05/05/2021 01:35:49,0,0.0
54,05/05/2021 01:36:40,92,124.39999999999813
55,05/05/2021 01:37:31,134,198.39999999999236
56,05/05/2021 01:38:22,187,124.9999999999971
57,05/05/2021 01:39:13,147,64.3999999999984
58,05/05/2021 01:40:04,124,190.1999999999961
59,05/05/2021 01:40:54,146,130.19999999999817
60,05/05/2021 01:41:45,99,66.79999999999804
61,05/05/2021 01:42:36,202,266.3999999999943
62,05/05/2021 01:43:27,201,258.79999999999217
63,05/05/2021 01:44:17,137,143.59999999999457
64,05/05/2021 01:45:08,152,142.7999999999965
65,05/05/2021 01:45:59,227,188.99999999999343
66,05/05/2021 01:46:50,146,173.9999999999966
67,05/05/2021 01:47:40,198,148.3999999999957
68,05/05/2021 01:48:31,133,172.3999999999936
69,05/05/2021 01:49:22,134,210.79999999999163
70,05/05/2021 01:50:13,200,218.5999999999955
71,05/05/2021 01:51:04,128,173.99999999999523
72,05/05/2021 01:51:55,247,169.1999999999942
73,05/05/2021 01:52:45,146,124.79999999999686
74,05/05/2021 01:53:36,140,126.19999999999732
75,05/05/2021 01:54:27,171,204.39999999999387
76,05/05/2021 01:55:18,102,67.39999999999793
77,05/05/2021 01:56:08,178,222.5999999999937
78,05/05/2021 01:56:59,133,118.1999999999966
79,05/05/2021 01:57:50,167,148.79999999999518
80,05/05/2021 01:58:41,100,103.59999999999711
81,05/05/2021 01:59:32,125,174.3999999999968
82,05/05/2021 02:00:23,144,214.3999999999927
83,05/05/2021 02:01:13,139,137.7999999999966
84,05/05/2021 02:02:04,167,288.19999999998976
85,05/05/2021 02:02:55,250,296.79999999999256
86,05/05/2021 02:03:46,171,192.59999999999607
87,05/05/2021 02:04:37,104,107.3999999999956
88,05/05/2021 02:05:27,167,193.19999999999382
89,05/05/2021 02:06:18,148,140.399999999996
90,05/05/2021 02:07:09,152,131.19999999999627
91,05/05/2021 02:08:00,131,165.39999999999617
92,05/05/2021 02:08:50,152,96.79999999999683
93,05/05/2021 02:09:41,116,119.39999999999608
94,05/05/2021 02:10:32,163,96.59999999999754
95,05/05/2021 02:11:23,119,75.59999999999769
96,05/05/2021 02:12:14,116,129.19999999999524
97,05/05/2021 02:13:05,133,83.99999999999793
98,05/05/2021 02:13:55,134,123.59999999999694
99,05/05/2021 02:14:46,141,118.39999999999755
100,05/05/2021 02:15:37,145,135.39999999999378
101,05/05/2021 02:16:28,108,94.59999999999816
102,05/05/2021 08:03:31,209,201.79999999999396
103,05/05/2021 08:04:23,148,155.19999999999607
104,05/05/2021 08:05:14,115,67.79999999999811
