test_number,time,frozen_counter,total_time
1,05/05/2021 09:03:09,108,89.59999999999752
2,05/05/2021 09:03:59,128,111.19999999999757
3,05/05/2021 09:04:50,131,103.59999999999745
4,05/05/2021 09:05:41,119,100.39999999999628
5,05/05/2021 09:06:32,147,82.59999999999776
6,05/05/2021 09:07:25,121,233.59999999999263
7,05/05/2021 09:08:16,110,67.79999999999774
8,05/05/2021 09:09:09,128,110.5999999999968
9,05/05/2021 09:10:01,157,206.19999999999436
10,05/05/2021 09:10:52,121,123.79999999999649
11,05/05/2021 09:11:43,137,87.99999999999798
12,05/05/2021 09:12:36,116,216.399999999994
13,05/05/2021 09:13:29,118,123.99999999999724
14,05/05/2021 09:14:22,129,97.19999999999669
15,05/05/2021 09:15:15,130,119.79999999999517
16,05/05/2021 09:16:06,111,134.99999999999517
17,05/05/2021 09:16:58,97,168.79999999999373
18,05/05/2021 09:17:49,106,74.59999999999809
19,05/05/2021 09:18:40,127,92.99999999999761
20,05/05/2021 09:19:32,135,46.79999999999869
21,05/05/2021 09:20:23,135,313.9999999999909
22,05/05/2021 09:21:15,141,198.99999999999494
23,05/05/2021 09:22:07,142,144.3999999999956
24,05/05/2021 09:22:58,121,124.79999999999798
25,05/05/2021 09:23:52,136,64.59999999999756
26,05/05/2021 09:24:44,154,250.99999999999238
27,05/05/2021 09:25:36,114,91.39999999999708
28,05/05/2021 09:26:27,124,101.99999999999717
29,05/05/2021 09:27:20,109,174.59999999999522
30,05/05/2021 09:28:11,134,85.7999999999979
31,05/05/2021 09:29:03,94,98.79999999999691
32,05/05/2021 09:29:55,130,40.39999999999885
33,05/05/2021 09:30:47,120,110.9999999999962
34,05/05/2021 09:31:42,123,126.79999999999761
35,05/05/2021 09:32:35,139,88.19999999999757
36,05/05/2021 09:33:26,153,135.3999999999963
37,05/05/2021 09:34:19,122,89.59999999999744
38,05/05/2021 09:35:11,0,0.0
39,05/05/2021 09:36:04,110,93.59999999999843
40,05/05/2021 09:36:57,147,179.99999999999181
41,05/05/2021 09:37:48,147,188.79999999999495
42,05/05/2021 09:38:40,148,127.39999999999719
43,05/05/2021 09:39:32,129,141.7999999999957
44,05/05/2021 09:40:24,142,76.19999999999784
45,05/05/2021 09:41:15,125,64.599999999998
