test_number,time,frozen_counter,total_time
1,04/05/2021 00:30:45,4,340.59999999999417
2,04/05/2021 00:31:36,6,411.19999999999095
3,04/05/2021 00:32:27,10,408.7999999999897
4,04/05/2021 00:33:19,7,381.79999999999353
5,04/05/2021 00:34:11,10,378.199999999993
6,04/05/2021 00:35:03,7,386.5999999999939
7,04/05/2021 00:35:54,7,388.7999999999908
8,04/05/2021 00:36:46,30,632.9999999999818
9,04/05/2021 00:37:37,4,340.3999999999951
10,04/05/2021 00:38:28,5,377.39999999999674
11,04/05/2021 00:39:20,9,355.5999999999917
12,04/05/2021 00:40:11,12,712.1999999999753
13,04/05/2021 00:41:03,6,347.9999999999938
14,04/05/2021 00:41:54,4,280.19999999999516
15,04/05/2021 00:42:46,5,292.7999999999938
16,04/05/2021 00:43:37,8,569.1999999999844
17,04/05/2021 00:44:28,6,454.199999999993
18,04/05/2021 00:45:20,5,372.19999999999465
19,04/05/2021 00:46:11,6,407.5999999999936
20,04/05/2021 00:47:03,2,359.99999999999426
21,04/05/2021 00:47:54,17,419.3999999999901
22,04/05/2021 00:48:45,7,729.3999999999719
23,04/05/2021 00:49:37,4,322.79999999999404
24,04/05/2021 00:50:28,9,408.3999999999939
25,04/05/2021 00:51:20,9,437.19999999999163
26,04/05/2021 00:52:11,3,324.1999999999925
27,04/05/2021 00:52:55,5,322.59999999999656
28,04/05/2021 00:54:24,15,517.5999999999894
29,04/05/2021 00:55:15,11,470.9999999999926
30,04/05/2021 00:56:06,2,319.1999999999953
31,04/05/2021 01:16:27,9,111.5999999999953
32,04/05/2021 01:17:19,13,78.9999999999969
33,04/05/2021 01:18:09,13,135.39999999999617
34,04/05/2021 01:19:00,17,103.7999999999972
35,04/05/2021 01:19:51,7,85.19999999999757
36,04/05/2021 01:20:44,0,0.0
37,04/05/2021 01:21:35,10,116.99999999999812
38,04/05/2021 01:22:26,7,107.39999999999651
39,04/05/2021 01:23:17,5,89.99999999999761
40,04/05/2021 01:24:08,0,0.0
41,04/05/2021 01:24:58,12,102.79999999999634
42,04/05/2021 01:25:28,0,8.20000000000007
